attribute,category,type,question,option_1,option_2,option_3,result_majority,agreement
Stiffness,bandanna,Physics,Stiffness: What is the amount of continued weight that a bandanna can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Malleability,bandanna,Physics,Malleability: Can a bandanna be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,3.0,1.0
Sharpness,banjo,Physics,Sharpness: What is sharpness of a banjo?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,banjo,Physics,Malleability: Can a banjo be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Softness,banner,Physics,"Softness: What is the softness (fluffyness, squishiness) of a banner?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Stiffness,banner,Physics,Stiffness: What is the amount of continued weight that a banner can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Elasticity,barbell,Physics,"Elasticity: If you were to deform a barbell (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,barbell,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a barbell?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,barbell,Physics,"Brittleness: How easy is it for a barbell to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,barbell,Physics,"Softness: What is the softness (fluffyness, squishiness) of a barbell?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Stiffness,barbell,Physics,Stiffness: What is the amount of continued weight that a barbell can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Malleability,barbell,Physics,Malleability: Can a barbell be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Brittleness,baseball,Physics,"Brittleness: How easy is it for a baseball to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Sharpness,baseball,Physics,Sharpness: What is sharpness of a baseball?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,baseball,Physics,Malleability: Can a baseball be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,baseball_bat,Physics,"Elasticity: If you were to deform a baseball_bat (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,baseball_bat,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a baseball_bat?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,baseball_bat,Physics,"Brittleness: How easy is it for a baseball_bat to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,baseball_bat,Physics,"Softness: What is the softness (fluffyness, squishiness) of a baseball_bat?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,baseball_bat,Physics,Sharpness: What is sharpness of a baseball_bat?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,baseball_bat,Physics,Stiffness: What is the amount of continued weight that a baseball_bat can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,baseball_bat,Physics,Malleability: Can a baseball_bat be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Brittleness,baseball_cap,Physics,"Brittleness: How easy is it for a baseball_cap to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Stiffness,baseball_cap,Physics,Stiffness: What is the amount of continued weight that a baseball_cap can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Surface Hardness,baseball_glove,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a baseball_glove?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,1.0
Brittleness,baseball_glove,Physics,"Brittleness: How easy is it for a baseball_glove to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Sharpness,baseball_glove,Physics,Sharpness: What is sharpness of a baseball_glove?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Sharpness,basket,Physics,Sharpness: What is sharpness of a basket?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Elasticity,basketball,Physics,"Elasticity: If you were to deform a basketball (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Brittleness,basketball,Physics,"Brittleness: How easy is it for a basketball to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
